sample_id,pool,hive_id,apiary_id,type,lat,lon,region
VAR243,p4,HIV090,API027,m,47.29002,-114.03374,MT-W
VAR248,p4,HIV008,API004,m,44.48783,-122.88072,OR-MWV
VAR253,p4,HIV029,API009,c,39.55246,-122.23259,CA-N
VAR259,p4,HIV041,API013,s,37.33347,-122.17572,CA-B
VAR262,p3,HIV056,API017,s,44.0564,-124.0744,OR-C
VAR269,p5,HIV086,API026,s,46.90362,-113.96121,MT-W
VAR272,p1,HIV015,API005,m,45.16431,-122.45376,OR-P
VAR273,p3,HIV023,API007,c,39.79929,-122.14147,CA-N
VAR274,p3,HIV024,API008,c,39.77619,-122.15926,CA-N
VAR275,p4,HIV025,API008,c,39.77619,-122.15926,CA-N
VAR276,p3,HIV026,API008,c,39.77619,-122.15926,CA-N
VAR277,p4,HIV027,API008,c,39.77619,-122.15926,CA-N
VAR278,p3,HIV035,API011,m,37.35047,-122.16418,CA-B
VAR279,p3,HIV036,API011,m,37.35047,-122.16418,CA-B
VAR280,p3,HIV036,API011,m,37.35047,-122.16418,CA-B
VAR281,p3,HIV038,API012,s,37.36687,-122.13496,CA-B
VAR282,p3,HIV039,API012,s,37.36687,-122.13496,CA-B
VAR283,p5,HIV047,API015,s,44.5594,-123.28892,OR-MWV
VAR284,p4,HIV049,API015,s,44.5594,-123.28892,OR-MWV
VAR286,p4,HIV056,API017,s,44.0564,-124.0744,OR-C
VAR288,p4,HIV070,API021,s,45.45629,-122.75536,OR-P
VAR290,p3,HIV078,API023,s,47.47,-122.46284,WA-PS
VAR291,p3,HIV081,API025,s,46.91027,-113.95805,MT-W
VAR292,p1,HIV090,API027,m,47.29002,-114.03374,MT-W
VAR294,p3,HIV097,API029,m,47.15633,-114.0405,MT-W
VAR295,p5,HIV007,API004,m,44.48783,-122.88072,OR-MWV
VAR296,p5,HIV009,API004,m,44.48783,-122.88072,OR-MWV
VAR297,p3,HIV016,API006,m,45.19979,-122.50894,OR-P
VAR298,p4,HIV020,API007,c,39.79929,-122.14147,CA-N
VAR299,p4,HIV028,API009,c,39.55246,-122.23259,CA-N
VAR301,p5,HIV040,API012,s,37.36687,-122.13496,CA-B
VAR303,p4,HIV065,API020,s,45.54607,-123.15998,OR-P
VAR304,p4,HIV072,API022,s,47.50428,-122.46533,WA-PS
VAR305,p5,HIV091,API028,m,47.31203,-114.07019,MT-W
VAR306,p5,HIV094,API028,m,47.31203,-114.07019,MT-W
VAR308,p2,HIV000,API002,s,42.3779,-71.1161,MA
VAR311,p1,HIV012,API005,m,45.16431,-122.45376,OR-P
VAR312,p1,HIV014,API005,m,45.16431,-122.45376,OR-P
VAR313,p4,HIV021,API007,c,39.79929,-122.14147,CA-N
VAR314,p5,HIV035,API011,m,37.35047,-122.16418,CA-B
VAR315,p3,HIV036,API011,m,37.35047,-122.16418,CA-B
VAR316,p5,HIV036,API011,m,37.35047,-122.16418,CA-B
VAR317,p4,HIV043,API014,m,44.33222,-123.38538,OR-MWV
VAR318,p5,HIV046,API014,m,44.33222,-123.38538,OR-MWV
VAR320,p5,HIV057,API017,s,44.0564,-124.0744,OR-C
VAR322,p3,HIV063,API019,s,45.57613,-123.16606,OR-P
VAR323,p4,HIV073,API022,s,47.50428,-122.46533,WA-PS
VAR324,p1,HIV074,API022,s,47.50428,-122.46533,WA-PS
VAR325,p3,HIV075,API022,s,47.50428,-122.46533,WA-PS
VAR326,p4,HIV077,API023,s,47.47,-122.46284,WA-PS
VAR327,p3,HIV078,API023,s,47.47,-122.46284,WA-PS
VAR328,p4,HIV083,API026,s,46.90362,-113.96121,MT-W
VAR330,p5,HIV089,API027,m,47.29002,-114.03374,MT-W
VAR331,p1,HIV006,API004,m,44.48783,-122.88072,OR-MWV
VAR332,p5,HIV008,API004,m,44.48783,-122.88072,OR-MWV
VAR333,p3,HIV012,API005,m,45.16431,-122.45376,OR-P
VAR336,p4,HIV023,API007,c,39.79929,-122.14147,CA-N
VAR337,p3,HIV023,API007,c,39.79929,-122.14147,CA-N
VAR338,p3,HIV025,API008,c,39.77619,-122.15926,CA-N
VAR339,p3,HIV026,API008,c,39.77619,-122.15926,CA-N
VAR340,p2,HIV029,API009,c,39.55246,-122.23259,CA-N
VAR342,p3,HIV034,API011,m,37.35047,-122.16418,CA-B
VAR343,p4,HIV038,API012,s,37.36687,-122.13496,CA-B
VAR345,p5,HIV045,API014,m,44.33222,-123.38538,OR-MWV
VAR346,p3,HIV048,API015,s,44.5594,-123.28892,OR-MWV
VAR348,p4,HIV056,API017,s,44.0564,-124.0744,OR-C
VAR352,p1,HIV095,API029,m,47.15633,-114.0405,MT-W
VAR353,p3,HIV097,API029,m,47.15633,-114.0405,MT-W
VAR355,p3,HIV000,API002,s,42.3779,-71.1161,MA
VAR356,p3,HIV000,API002,s,42.3779,-71.1161,MA
VAR357,p1,HIV000,API002,s,42.3779,-71.1161,MA
VAR358,p3,HIV000,API002,s,42.3779,-71.1161,MA
